The patient needs physiotherapy	रोगी को फिजियोथेरेपी की आवश्यकता है
The patient needs physiotherapy	रोगी को फिजियोथेरेपी की आवश्यकता है
The patient needs physiotherapy	रोगी को फिजियोथेरेपी की आवश्यकता है
The wound is healing properly	घाव सही तरीके से भर रहा है
The patient is under medication	रोगी दवा के उपचार में है
The doctor will review the report	डॉक्टर रिपोर्ट की समीक्षा करेंगे
The patient needs physiotherapy	रोगी को फिजियोथेरेपी की आवश्यकता है
Take the syrup after meals	भोजन के बाद सिरप लें
Report any unusual symptoms	किसी भी असामान्य लक्षण की रिपोर्ट करें
Follow a balanced diet	संतुलित आहार का पालन करें
Please avoid alcohol during treatment	उपचार के दौरान शराब से बचें
Please avoid alcohol during treatment	उपचार के दौरान शराब से बचें
The patient is under medication	रोगी दवा के उपचार में है
Take the syrup after meals	भोजन के बाद सिरप लें
Take the syrup after meals	भोजन के बाद सिरप लें
The patient complains of headache	रोगी सिरदर्द की शिकायत करता है
The wound is healing properly	घाव सही तरीके से भर रहा है
The patient needs physiotherapy	रोगी को फिजियोथेरेपी की आवश्यकता है
Take the syrup after meals	भोजन के बाद सिरप लें
Please avoid alcohol during treatment	उपचार के दौरान शराब से बचें
Take the syrup after meals	भोजन के बाद सिरप लें
Report any unusual symptoms	किसी भी असामान्य लक्षण की रिपोर्ट करें
The wound is healing properly	घाव सही तरीके से भर रहा है
Follow a balanced diet	संतुलित आहार का पालन करें
Follow a balanced diet	संतुलित आहार का पालन करें
The patient is under medication	रोगी दवा के उपचार में है
Please avoid alcohol during treatment	उपचार के दौरान शराब से बचें
Please avoid alcohol during treatment	उपचार के दौरान शराब से बचें
The patient needs physiotherapy	रोगी को फिजियोथेरेपी की आवश्यकता है
The scan shows mild infection	स्कैन में हल्का संक्रमण दिखाई देता है
The scan shows mild infection	स्कैन में हल्का संक्रमण दिखाई देता है
The patient is under medication	रोगी दवा के उपचार में है
Follow a balanced diet	संतुलित आहार का पालन करें
The patient is under medication	रोगी दवा के उपचार में है
