# Example medical domain training data (English to Hindi)
# Format: source_text<TAB>target_text
The patient has hypertension	रोगी को उच्च रक्तचाप है
Please take this medication twice daily	कृपया यह दवा दिन में दो बार लें
The blood test results are normal	रक्त परीक्षण के परिणाम सामान्य हैं
Schedule a follow-up appointment in two weeks	दो सप्ताह में फॉलो-अप अपॉइंटमेंट शेड्यूल करें
The prescription is ready for pickup	नुस्खा पिकअप के लिए तैयार है
Patient requires immediate medical attention	रोगी को तत्काल चिकित्सा ध्यान की आवश्यकता है
Blood pressure reading is elevated	रक्तचाप रीडिंग बढ़ी हुई है
Take one tablet before meals	भोजन से पहले एक गोली लें
The insurance claim has been approved	बीमा दावा स्वीकृत कर दिया गया है
Patient history shows allergies to penicillin	रोगी के इतिहास में पेनिसिलिन से एलर्जी दिखाई देती है

Please drink plenty of fluids	कृपया अधिक मात्रा में तरल पदार्थ पिएं
Patient history shows allergies to penicillin	रोगी के इतिहास में पेनिसिलिन से एलर्जी दिखाई देती है
The patient has hypertension	रोगी को उच्च रक्तचाप है
Schedule a follow-up appointment in two weeks	दो सप्ताह में फॉलो-अप अपॉइंटमेंट शेड्यूल करें
The insurance claim has been approved	बीमा दावा स्वीकृत कर दिया गया है
The patient is allergic to aspirin	रोगी को एस्पिरिन से एलर्जी है
Do not skip your medication	अपनी दवा छोड़ें नहीं
Please drink plenty of fluids	कृपया अधिक मात्रा में तरल पदार्थ पिएं
Patient requires immediate medical attention	रोगी को तत्काल चिकित्सा ध्यान की आवश्यकता है
The patient is recovering well after surgery	सर्जरी के बाद रोगी अच्छी तरह से ठीक हो रहा है
Patient history shows allergies to penicillin	रोगी के इतिहास में पेनिसिलिन से एलर्जी दिखाई देती है
Blood pressure reading is elevated	रक्तचाप रीडिंग बढ़ी हुई है
Do not skip your medication	अपनी दवा छोड़ें नहीं
Do not skip your medication	अपनी दवा छोड़ें नहीं
The patient is experiencing chest pain	रोगी को सीने में दर्द हो रहा है
Do not skip your medication	अपनी दवा छोड़ें नहीं
The patient is recovering well after surgery	सर्जरी के बाद रोगी अच्छी तरह से ठीक हो रहा है
Schedule a follow-up appointment in two weeks	दो सप्ताह में फॉलो-अप अपॉइंटमेंट शेड्यूल करें
The patient has hypertension	रोगी को उच्च रक्तचाप है
The blood test results are normal	रक्त परीक्षण के परिणाम सामान्य हैं
You need to fast before the blood test	रक्त परीक्षण से पहले आपको उपवास करना होगा
Please monitor your blood pressure daily	कृपया रोज़ अपना रक्तचाप जांचें
Schedule a follow-up appointment in two weeks	दो सप्ताह में फॉलो-अप अपॉइंटमेंट शेड्यूल करें
The insurance claim has been approved	बीमा दावा स्वीकृत कर दिया गया है
Please drink plenty of fluids	कृपया अधिक मात्रा में तरल पदार्थ पिएं
Please monitor your blood pressure daily	कृपया रोज़ अपना रक्तचाप जांचें
Please monitor your blood pressure daily	कृपया रोज़ अपना रक्तचाप जांचें
Please monitor your blood pressure daily	कृपया रोज़ अपना रक्तचाप जांचें
Do not skip your medication	अपनी दवा छोड़ें नहीं
The doctor has prescribed antibiotics	डॉक्टर ने एंटीबायोटिक दवाएं निर्धारित की हैं
